@relation 'Domains 05.11.2020 12:35:42'

@attribute DomainLength numeric
@attribute NumberDigits numeric
@attribute NumberVowels numeric
@attribute NumberConsonants numeric
@attribute NumberSpecialCharacters numeric
@attribute NumberUniqueCharacter numeric
@attribute NumberRepetitions numeric
@attribute LengthDigitsSequence numeric
@attribute LengthVowelsSequence numeric
@attribute LengthConsonantSequence numeric
@attribute LengthSpecialCharactersSequence numeric
@attribute RatioDigitToLength numeric
@attribute RatioVowelsToLength numeric
@attribute RatioConsonantsToLength numeric
@attribute RatioSpecialCharactersToLength numeric
@attribute RatioVowelsToConsonants numeric
@attribute RatioUniqueCharacterToLength numeric
@attribute FrequencyRepeat numeric
@attribute FrequencyNgram2 numeric
@attribute FrequencyNgram3 numeric
@attribute FrequencyNgram4 numeric
@attribute FrequencyNgram5 numeric
@attribute class {0,1}

@data
9,0,3,5,0,6,4,0,2,3,0,0,0.333333,0.555556,0,0.6,0.666667,1.125,-1.094043,-1.822688,-2.223475,-1,0
13,0,5,7,0,9,6,0,1,2,0,0,0.384615,0.538462,0,0.714286,0.692308,1.083333,-2.733972,-3.972366,-4.53417,-5,0
15,0,6,8,0,10,7,0,1,2,0,0,0.4,0.533333,0,0.75,0.666667,1.285714,-3.214962,-5.078401,-5.875768,-9,0
13,1,5,6,0,9,7,1,2,2,0,0.076923,0.384615,0.461538,0,0.833333,0.692308,1.166667,-0.711439,-5.893598,-4.540851,-6,0
6,0,1,4,0,6,2,0,1,2,0,0,0.166667,0.666667,0,0.25,1,1,-1.965454,-2.568217,-1.857143,0,0
27,0,9,16,0,18,11,0,3,4,0,0,0.333333,0.592593,0,0.5625,0.666667,1,-3.259464,-9.7266,-15.194878,-21.635547,0
15,0,4,10,0,12,5,0,1,3,0,0,0.266667,0.666667,0,0.4,0.8,1.142857,-1.886522,-3.230247,-5.320634,-9,0
12,0,4,7,0,8,5,0,1,2,0,0,0.333333,0.583333,0,0.571429,0.666667,1.090909,-2.845052,-4.980853,-6.180514,-3,0
17,0,6,10,0,14,7,0,1,2,0,0,0.352941,0.588235,0,0.6,0.823529,1,-1.809835,-4.296672,-9.198279,-8.333333,0
15,0,6,8,0,12,7,0,2,2,0,0,0.4,0.533333,0,0.75,0.8,1.214286,-3.301749,-7.474622,-8.048379,-7,0
17,0,8,8,0,14,9,0,3,2,0,0,0.470588,0.470588,0,1,0.823529,1.1875,-2.221241,-5.199937,-6.687834,-8,0
17,1,6,9,0,11,8,1,2,2,0,0.058824,0.352941,0.529412,0,0.666667,0.647059,1.375,-1.264384,-3.052733,-7.570047,-12,0
12,0,5,6,0,10,6,0,1,1,0,0,0.416667,0.5,0,0.833333,0.833333,1.090909,-1.824526,-2.567971,-4.875618,-4,0
11,0,4,6,0,10,5,0,1,2,0,0,0.363636,0.545455,0,0.666667,0.909091,1,-2.442847,-5.025964,-5.192237,-4,0
9,3,2,3,0,8,6,3,1,2,0,0.333333,0.222222,0.333333,0,0.666667,0.888889,1,-1.285656,-5.371683,-3,0,0
9,0,2,6,0,8,3,0,1,4,0,0,0.222222,0.666667,0,0.333333,0.888889,1,-2.187614,-1.303165,-1.17335,-1.055556,0
10,0,3,6,0,9,4,0,1,3,0,0,0.3,0.6,0,0.5,0.9,1.111111,-2.405529,-3.478126,-3.365621,0.8,0
15,0,5,9,0,12,6,0,1,2,0,0,0.333333,0.6,0,0.555556,0.8,1.071429,-2.758541,-4.496728,-5.846629,-6.444444,0
12,0,4,7,0,10,5,0,1,2,0,0,0.333333,0.583333,0,0.571429,0.833333,1,0.147398,0.693571,0.686802,-3,0
20,2,5,12,0,15,8,2,1,4,0,0.1,0.25,0.6,0,0.416667,0.75,1.105263,1.762597,-1.786611,-3.158278,-12,0
13,0,5,7,0,7,6,0,1,2,0,0,0.384615,0.538462,0,0.714286,0.538462,1.333333,-3.173647,-5.733462,-6.5085,-5,0
10,0,5,4,0,9,6,0,2,1,0,0,0.5,0.4,0,1.25,0.9,1,-2.748755,-3.96761,-3.680934,-2,0
7,0,2,4,0,6,3,0,1,3,0,0,0.285714,0.571429,0,0.5,0.857143,1,-2.056009,-1.308848,-3,0,0
11,0,4,6,0,10,5,0,1,1,0,0,0.363636,0.545455,0,0.666667,0.909091,1,-1.572478,-4.483136,-4.815858,-3,0
16,0,5,9,0,12,7,0,1,2,0,0,0.3125,0.5625,0,0.555556,0.75,1,-4.906132,-8.158852,-9.005872,-5,0
21,0,8,12,0,14,9,0,2,2,0,0,0.380952,0.571429,0,0.666667,0.666667,1.35,-2.294415,-4.205494,-7.010622,-14.992308,0
12,0,4,6,0,12,6,0,2,2,0,0,0.333333,0.5,0,0.666667,1,1,-3.850993,-5.814448,-6.413844,-5,0
14,0,6,7,0,11,7,0,1,1,0,0,0.428571,0.5,0,0.857143,0.785714,1,-2.75989,-5.014268,-5.99398,-5,0
15,0,5,9,0,13,6,0,1,3,0,0,0.333333,0.6,0,0.555556,0.866667,1,-2.683514,-3.71261,-5.901678,-9,0
14,0,5,8,0,11,6,0,2,3,0,0,0.357143,0.571429,0,0.625,0.785714,1.384615,-2.675616,-4.071769,-4.101049,-6,0
12,0,5,6,0,9,6,0,2,2,0,0,0.416667,0.5,0,0.833333,0.75,1.090909,-2.610595,-4.244765,-5.503242,-4,0
12,0,3,7,0,10,5,0,1,2,0,0,0.25,0.583333,0,0.428571,0.833333,1.090909,-3.782036,-5.035344,-5.8565,-3,0
12,0,4,6,0,9,6,0,1,2,0,0,0.333333,0.5,0,0.666667,0.75,1.181818,-4.474368,-5.598729,-4.553613,-4,0
20,0,9,10,0,13,10,0,2,3,0,0,0.45,0.5,0,0.9,0.65,1.052632,-2.728369,-6.158694,-7.345548,-12.6,0
13,0,4,8,0,8,5,0,1,3,0,0,0.307692,0.615385,0,0.5,0.615385,1.666667,-1.793506,-2.427574,-2.105435,-5,0
14,0,6,7,0,11,7,0,3,2,0,0,0.428571,0.5,0,0.857143,0.785714,1.076923,-2.093191,-3.99465,-6.825213,-5,0
17,0,6,10,0,13,7,0,2,2,0,0,0.352941,0.588235,0,0.6,0.764706,1.125,-1.9355,-4.498737,-6.147269,-7,0
12,0,5,6,0,8,6,0,2,2,0,0,0.416667,0.5,0,0.833333,0.666667,1.181818,-2.93511,-5.55749,-5.747983,-6,0
15,0,7,7,0,12,8,0,3,1,0,0,0.466667,0.466667,0,1,0.8,1.071429,-1.72524,-2.231315,-1.720482,-6,0
14,0,7,6,0,9,8,0,2,1,0,0,0.5,0.428571,0,1.166667,0.642857,1.538462,-3.678225,-6.178439,-7.199776,-6,0
16,0,5,10,0,13,6,0,2,3,0,0,0.3125,0.625,0,0.5,0.8125,1.066667,-0.640943,-2.996305,-5.480716,-8,0
28,0,9,16,0,17,12,0,2,2,0,0,0.321429,0.571429,0,0.5625,0.607143,1.296296,-7.416259,-16.808289,-20.636074,-22.455556,0
16,0,6,9,0,13,7,0,2,2,0,0,0.375,0.5625,0,0.666667,0.8125,1.066667,-1.182105,-3.696841,-6.373453,-8,0
11,0,2,8,0,10,3,0,1,5,0,0,0.181818,0.727273,0,0.25,0.909091,1,-0.876,-2.057676,-1.909852,-2,0
11,0,2,7,0,8,4,0,1,3,0,0,0.181818,0.636364,0,0.285714,0.727273,1.1,-2.366825,-3.647121,-2.333164,-4,0
10,0,4,4,0,10,6,0,1,1,0,0,0.4,0.4,0,1,1,1,-2.762253,-4.691918,-5.372093,-1,0
12,4,3,4,0,9,8,4,1,2,0,0.333333,0.25,0.333333,0,0.75,0.75,1.090909,-1.921757,-5.124087,-3.808843,-4,0
11,0,5,5,0,7,6,0,2,1,0,0,0.454545,0.454545,0,1,0.636364,1.1,-2.73158,-2.920486,-2.867233,-2,0
10,0,4,5,0,7,5,0,1,2,0,0,0.4,0.5,0,0.8,0.7,1.111111,-2.197852,-2.392069,-0.905681,-2,0
18,0,8,9,0,12,9,0,2,2,0,0,0.444444,0.5,0,0.888889,0.666667,1.235294,-2.897386,-5.275779,-8.173897,-10,0
9,0,2,5,0,6,4,0,2,3,0,0,0.222222,0.555556,0,0.4,0.666667,1.125,-2.869955,-2.153277,-0.2,-1,0
14,0,5,8,0,9,6,0,2,2,0,0,0.357143,0.571429,0,0.625,0.642857,1.153846,-2.313158,-4.05017,-6.990604,-7,0
10,0,5,4,0,8,6,0,2,2,0,0,0.5,0.4,0,1.25,0.8,1,-2.931316,-3.930482,-3.858607,-2,0
15,0,5,8,0,13,7,0,1,2,0,0,0.333333,0.533333,0,0.625,0.866667,1,-4.102132,-7.994102,-10.302661,-7,0
12,0,4,7,0,10,5,0,1,3,0,0,0.333333,0.583333,0,0.571429,0.833333,1,-2.36206,-3.862435,-4.148506,-4,0
11,0,4,6,0,9,5,0,1,2,0,0,0.363636,0.545455,0,0.666667,0.818182,1.1,-2.59844,-2.618321,-3.87077,-3,0
15,0,7,7,0,11,8,0,2,2,0,0,0.466667,0.466667,0,1,0.733333,1.071429,-1.675232,-4.540926,-9.004236,-8.818182,0
14,0,4,9,0,10,5,0,1,3,0,0,0.285714,0.642857,0,0.444444,0.714286,1.230769,-2.263794,-2.796048,-4.197422,-8,0
14,0,5,8,0,11,6,0,1,2,0,0,0.357143,0.571429,0,0.625,0.785714,1.076923,-2.919649,-2.896014,-3.279441,-9,0
11,0,3,7,0,8,4,0,1,3,0,0,0.272727,0.636364,0,0.428571,0.727273,1.1,-1.709753,-0.102704,0.973132,-2,0
7,0,3,3,0,5,4,0,1,2,0,0,0.428571,0.428571,0,1,0.714286,1,-2.411971,-2.194948,-2.084082,0,0
24,0,8,14,0,13,10,0,1,3,0,0,0.333333,0.583333,0,0.571429,0.541667,1.217391,-6.750896,-12.110353,-12.801474,-16,0
17,0,5,10,0,11,7,0,2,4,0,0,0.294118,0.588235,0,0.5,0.647059,1.125,-2.01514,-4.086402,-8.283338,-9,0
17,0,5,11,0,14,6,0,1,3,0,0,0.294118,0.647059,0,0.454545,0.823529,1,-1.140277,-3.236969,-7.527697,-9.083333,0
17,0,6,9,0,10,8,0,2,2,0,0,0.352941,0.529412,0,0.666667,0.588235,1.375,-5.31935,-6.725248,-10.245622,-9,0
15,0,6,8,0,9,7,0,1,2,0,0,0.4,0.533333,0,0.75,0.6,1.214286,-2.794965,-5.077879,-4.346327,-8,0
10,0,5,4,0,9,6,0,2,1,0,0,0.5,0.4,0,1.25,0.9,1.111111,-1.304446,-2.077641,-3.302584,-1,0
20,2,5,11,0,16,9,2,2,3,0,0.1,0.25,0.55,0,0.454545,0.8,1,-2.676325,-9.605075,-9.951979,-12,0
20,0,7,12,0,12,8,0,2,2,0,0,0.35,0.6,0,0.583333,0.6,1,-2.909722,-4.810551,-4.066127,-14.5,0
12,0,4,6,0,10,6,0,1,2,0,0,0.333333,0.5,0,0.666667,0.833333,1.090909,-4.332639,-6.198375,-7.927658,-5,0
17,0,6,10,0,12,7,0,1,3,0,0,0.352941,0.588235,0,0.6,0.705882,1.375,-3.437824,-5.599161,-7.688044,-11,0
10,0,4,5,0,9,5,0,2,1,0,0,0.4,0.5,0,0.8,0.9,1,-1.154129,-1.811424,-0.818212,-2,0
24,0,8,15,0,13,9,0,1,3,0,0,0.333333,0.625,0,0.533333,0.541667,1.391304,-3.191589,-4.845922,-6.340085,-15,0
19,0,8,10,0,11,9,0,2,3,0,0,0.421053,0.526316,0,0.8,0.578947,1.444444,-3.385578,-2.603478,0.620999,-9.658333,0
17,1,6,9,0,14,8,1,2,2,0,0.058824,0.352941,0.529412,0,0.666667,0.823529,1,-1.499559,-3.350976,-3.713516,-10.166667,0
10,0,3,6,0,7,4,0,1,2,0,0,0.3,0.6,0,0.5,0.7,1,-1.715128,-2.109051,-2.699511,-1,0
